"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L34976","BasePipeline","org.deeplearning4j.BasePipeline","L105","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-scaleout\dl4j-streaming\src\main\java\org\deeplearning4j\BasePipeline.java","8","1","30","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","0","3","0.25","0.25","5","5","1","3","0.227273","5","1","1","0","0","1","15","20","3","0","3","0","3","0","3","0","3","3","0","3","0","17","23","3","0","3","0","3","0","3","0","3","3","0","3","0","0","0","12","0","2","0","0","1","0","0","1","0","0","0","0","0","11","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L35000","Record","org.deeplearning4j.Record","L105","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-scaleout\dl4j-streaming\src\main\java\org\deeplearning4j\Record.java","11","1","12","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.6","3","3","1","0","0.6","3","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L35827","StreamingPipeline","org.deeplearning4j.StreamingPipeline","L105","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-scaleout\dl4j-streaming\src\main\java\org\deeplearning4j\StreamingPipeline.java","6","1","22","2","0","0","0","0","0","0","0","0","3","0","0","3","1","0","0","0","3","0.25","0.176471","3","3","1","3","0.176471","3","1","1","0","0","1","14","17","0","0","0","0","3","0","3","0","3","3","0","3","0","14","17","0","0","0","0","3","0","3","0","3","3","0","3","0","0","0","10","0","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L133","IrisUtils","org.deeplearning4j.base.IrisUtils","L123","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\base\IrisUtils.java","31","1","71","2","0","0","0","0","0","0","0","0","1","1","1","6","0","1","1","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","33","41","0","0","0","0","3","0","1","0","3","28","0","1","0","33","41","0","0","0","0","3","0","1","0","3","28","0","1","0","0","0","9","0","3","0","0","1","0","1","0","0","0","0","1","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L201","MnistFetcher","org.deeplearning4j.base.MnistFetcher","L123","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\base\MnistFetcher.java","33","1","119","2","0.431138","1","6","2","0.287356","0.30303","25","20","1","1","1","10","1","1","1","1","3","0","0.0434783","3","1","0","3","0.0434783","3","0","0","0","0","0","66","87","17","0","17","0","2","4","2","0","2","32","4","2","0","66","87","17","0","17","0","2","4","2","0","2","32","4","2","0","0","1","26","0","2","1","0","1","12","0","0","0","0","0","0","0","7","0","0","2","0","0","0","0","0","0","0","0","0","0","7","0"
"L2208","DataSets","org.deeplearning4j.datasets.DataSets","L2205","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\datasets\DataSets.java","27","1","57","2","0","0","0","0","0","0","0","0","2","1","1","6","3","0","0","6","11","0","0","0","0","0","5","0","0","0","0","0","0","0","24","31","0","0","0","0","5","0","4","0","5","10","0","4","0","24","31","0","0","0","0","5","0","4","0","5","10","0","4","0","0","0","14","1","2","0","0","0","0","1","1","0","0","0","2","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L4766","MagicQueue","org.deeplearning4j.parallelism.MagicQueue","L4760","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\parallelism\MagicQueue.java","21","1","304","2","0","0","0","0","0","0","0","0","14","2","2","31","1","2","3","2","23","0.6","0.350254","69","69","12","8","0.290984","71","0","0","0","0","0","128","221","4","0","4","0","21","0","19","0","21","58","0","19","0","173","284","7","0","7","0","27","0","25","1","27","79","0","25","1","0","1","45","2","12","0","0","0","0","11","1","2","0","0","2","0","39","1","0","1","0","0","0","0","0","0","0","0","0","0","3","0"
"L4885","ParallelWrapper","org.deeplearning4j.parallelism.ParallelWrapper","L4760","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\parallelism\ParallelWrapper.java","34","1","470","2","0","0","0","0","0","0","0","0","1","9","8","50","8","1","1","18","22","0.75","0.137931","24","13","3","1","0.23545","89","0","0","0","0","0","150","195","10","0","10","0","4","0","3","0","4","115","0","3","0","289","437","24","1","24","1","21","0","20","0","21","190","0","20","0","0","1","45","8","33","1","0","5","0","8","0","7","0","1","18","0","29","0","0","6","0","0","0","0","2","0","3","0","0","0","8","0"
"L5066","MagicQueueTest","org.deeplearning4j.parallelism.MagicQueueTest","L4760","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\test\java\org\deeplearning4j\parallelism\MagicQueueTest.java","22","1","165","2","0","0","0","0","0","0","0","0","3","2","2","8","2","0","0","7","11","0.6","0.512","64","16","3","2","0.512","64","0","0","0","0","0","61","144","0","0","0","0","4","0","4","1","4","43","0","4","1","61","144","0","0","0","0","4","0","4","1","4","43","0","4","1","0","0","8","3","7","0","0","7","0","0","1","0","0","0","2","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5092","BarnesHutTsne","org.deeplearning4j.plot.BarnesHutTsne","L5081","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\plot\BarnesHutTsne.java","63","1","825","2","0.0495238","1","6","1","0.0314548","0.038961","24","21","16","5","5","104","11","6","7","17","65","0.1875","0.134615","70","59","9","39","0.114379","70","1","1","0","0","1","450","650","31","7","31","7","48","1","47","10","48","283","1","47","10","542","763","48","7","48","7","66","1","65","16","66","318","1","65","16","0","1","165","0","87","4","0","17","9","42","1","6","0","1","1","0","126","11","0","9","0","0","0","0","0","0","8","0","0","0","22","0"
"L5395","FilterPanel","org.deeplearning4j.plot.FilterPanel","L5081","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\plot\FilterPanel.java","25","1","45","2","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","2","0","0.0714286","1","0","0","3","0.0714286","1","0","0","0","0","0","13","21","1","0","1","0","2","0","2","0","2","5","0","2","0","13","21","1","0","1","0","2","0","2","0","2","5","0","2","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","1","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5489","MultiLayerNetworkReconstructionRender","org.deeplearning4j.plot.MultiLayerNetworkReconstructionRender","L5081","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\plot\MultiLayerNetworkReconstructionRender.java","30","1","74","2","0","0","0","0","0","0","0","0","1","2","2","6","2","0","0","4","7","0.25","0.075","3","3","1","3","0.075","3","0","0","0","0","0","37","45","3","0","3","0","3","0","3","0","3","25","0","3","0","37","45","3","0","3","0","3","0","3","0","3","25","0","3","0","0","0","9","0","4","0","0","1","0","3","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5508","NeuralNetworkReconstructionRender","org.deeplearning4j.plot.NeuralNetworkReconstructionRender","L5081","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\plot\NeuralNetworkReconstructionRender.java","32","1","68","2","0","0","0","0","0","0","0","0","1","2","2","4","2","0","0","4","6","0.333333","0.151515","5","5","1","2","0.151515","5","0","0","0","0","0","28","37","2","0","2","0","2","0","2","0","2","20","0","2","0","28","37","2","0","2","0","2","0","2","0","2","20","0","2","0","0","0","7","0","3","0","0","0","0","1","0","0","0","0","2","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5450","PlotFilters","org.deeplearning4j.plot.PlotFilters","L5081","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\plot\PlotFilters.java","26","1","141","2","0","0","0","0","0","0","0","0","1","4","4","16","0","4","4","0","7","0.714286","0.342342","38","38","5","2","0.342342","38","0","0","0","0","0","73","116","7","2","7","2","7","0","6","1","7","47","0","6","1","73","116","7","2","7","2","7","0","6","1","7","47","0","6","1","0","0","12","3","12","0","0","7","0","2","0","2","0","0","5","0","9","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0"
"L5222","Tsne","org.deeplearning4j.plot.Tsne","L5081","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\plot\Tsne.java","36","1","428","2","0.077381","1","6","1","0.0636132","0.0755396","25","21","1","4","4","31","1","2","2","3","10","0.333333","0.170732","42","24","2","4","0.130031","42","0","0","0","0","0","204","299","17","0","17","0","7","0","5","0","7","153","0","5","0","281","393","31","0","31","0","22","0","20","6","22","182","0","20","6","0","3","68","0","59","2","0","24","9","19","0","3","0","0","0","0","48","1","0","10","0","0","0","0","0","0","8","0","0","0","8","0"
"L5699","BarnesHutTsneTest","org.deeplearning4j.plot.BarnesHutTsneTest","L5081","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\test\java\org\deeplearning4j\plot\BarnesHutTsneTest.java","40","1","112","2","0","0","0","0","0","0","0","0","2","0","0","3","2","0","0","22","25","0.25","0.0615385","4","3","1","3","0.0615385","4","0","0","0","0","0","61","73","0","0","0","0","3","0","3","1","3","44","0","3","1","61","73","0","0","0","0","3","0","3","1","3","44","0","3","1","0","0","9","2","10","1","0","12","0","0","1","0","0","1","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5728","RenderTest","org.deeplearning4j.plot.RenderTest","L5081","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\test\java\org\deeplearning4j\plot\RenderTest.java","26","1","72","2","0","0","0","0","0","0","0","0","2","0","0","2","18","0","0","22","24","0.333333","0.075","3","3","1","2","0.075","3","0","0","0","0","0","37","47","0","0","0","0","2","0","2","0","2","20","0","2","0","37","47","0","0","0","0","2","0","2","0","2","20","0","2","0","0","0","10","3","0","0","0","3","0","0","1","0","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5994","UiConnectionInfo","org.deeplearning4j.ui.UiConnectionInfo","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\main\java\org\deeplearning4j\ui\UiConnectionInfo.java","11","1","137","2","0","0","0","0","0","0","0","0","0","1","1","15","0","10","19","0","7","0.25","0.2","12","12","2","6","0.245455","27","0","0","0","0","0","48","69","7","5","7","5","7","0","7","1","7","17","0","7","1","83","127","8","5","8","5","15","0","15","7","15","34","0","15","7","0","0","30","0","5","5","0","1","0","1","0","0","0","0","1","0","28","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0"
"L6059","UiConnectionInfoTest","org.deeplearning4j.ui.UiConnectionInfoTest","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-core\src\test\java\org\deeplearning4j\ui\UiConnectionInfoTest.java","11","1","144","2","0.759036","2","8","8","0.656716","0.733945","88","80","11","0","0","12","2","0","0","9","21","0.0769231","0.0267857","3","3","1","12","0.0267857","3","0","0","0","0","0","109","134","0","0","0","0","12","0","12","1","12","22","0","12","1","109","134","0","0","0","0","12","0","12","1","12","22","0","12","1","0","0","81","11","12","0","0","20","53","0","1","0","0","0","0","0","27","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L7193","TestComponentSerialization","org.deeplearning4j.ui.TestComponentSerialization","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui-components\src\test\java\org\deeplearning4j\ui\TestComponentSerialization.java","28","1","159","2","0","0","0","0","0","0","0","0","1","1","1","4","34","0","0","56","59","0.5","0.142857","16","3","1","1","0.142857","16","0","0","0","0","0","96","132","0","0","0","0","3","0","1","0","3","39","0","1","0","96","132","0","0","0","0","3","0","1","0","3","39","0","1","0","0","0","14","2","3","1","0","3","0","0","0","0","0","3","2","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"L7278","TestRendering","org.deeplearning4j.ui.TestRendering","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui-components\src\test\java\org\deeplearning4j\ui\TestRendering.java","50","1","218","2","0","0","0","0","0","0","0","0","1","1","1","6","34","0","0","57","58","0.5","0.112583","17","5","1","1","0.112583","17","0","0","0","0","0","134","169","0","0","0","0","1","0","1","0","1","57","0","1","0","134","169","0","0","0","0","1","0","1","0","1","57","0","1","0","0","0","12","1","6","1","0","1","0","2","0","0","0","3","0","0","5","0","0","0","0","0","0","0","0","0","4","0","0","0","4","0"
"L7289","TestStandAlone","org.deeplearning4j.ui.TestStandAlone","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui-components\src\test\java\org\deeplearning4j\ui\TestStandAlone.java","17","1","55","2","0","0","0","0","0","0","0","0","1","0","0","1","13","0","0","19","20","0.5","0.0857143","3","3","1","1","0.0857143","3","0","0","0","0","0","32","39","0","0","0","0","1","0","1","0","1","4","0","1","0","32","39","0","0","0","0","1","0","1","0","1","4","0","1","0","0","0","7","2","0","0","0","2","0","0","0","0","0","2","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8642","UIConfiguration","org.deeplearning4j.ui.UIConfiguration","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui\src\main\java\org\deeplearning4j\ui\UIConfiguration.java","30","1","45","2","0","0","0","0","0","0","0","0","0","1","1","4","0","2","1","0","2","0.333333","0.176471","3","3","1","2","0.176471","3","0","0","0","0","0","14","16","1","1","1","1","2","0","2","1","2","4","0","2","1","14","16","1","1","1","1","2","0","2","1","2","4","0","2","1","0","0","7","0","1","0","0","0","0","1","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7365","UiServer","org.deeplearning4j.ui.UiServer","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui\src\main\java\org\deeplearning4j\ui\UiServer.java","66","1","240","2","0","0","0","0","0","0","0","0","2","3","3","23","13","9","11","8","20","0.1","0.0763359","10","4","1","9","0.0662252","10","0","0","0","0","0","121","155","4","5","4","5","12","0","9","0","12","78","0","9","0","141","175","4","6","4","6","14","0","11","0","14","88","0","11","0","0","3","39","7","10","1","0","3","0","8","1","0","0","1","5","0","37","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0"
"L8729","UiUtils","org.deeplearning4j.ui.UiUtils","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui\src\main\java\org\deeplearning4j\ui\UiUtils.java","8","1","30","2","0","0","0","0","0","0","0","0","1","1","1","5","0","5","5","0","3","0","0.0526316","1","0","0","3","0.0526316","1","0","0","0","0","0","18","23","0","0","0","0","3","0","2","0","3","6","0","2","0","18","23","0","0","0","0","3","0","2","0","3","6","0","2","0","0","0","9","3","1","0","0","1","0","0","0","0","0","0","3","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8767","WebReporter","org.deeplearning4j.ui.WebReporter","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui\src\main\java\org\deeplearning4j\ui\WebReporter.java","20","1","82","2","0","0","0","0","0","0","0","0","2","0","0","4","2","2","2","2","6","0.75","0.486486","18","18","3","1","0.290323","18","0","0","0","0","0","19","37","3","1","3","1","4","0","3","0","4","6","0","3","0","44","63","4","1","4","1","6","0","5","0","6","17","0","5","0","0","1","13","3","2","0","0","2","0","0","1","0","0","0","3","0","12","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L9263","ApiTest","org.deeplearning4j.ui.ApiTest","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui\src\test\java\org\deeplearning4j\ui\ApiTest.java","26","1","57","2","0","0","0","0","0","0","0","0","1","0","0","1","4","0","0","8","9","0.5","0.1","3","3","1","1","0.1","3","1","1","0","0","1","27","32","2","0","0","0","1","0","1","0","3","16","0","3","0","27","32","2","0","0","0","1","0","1","0","3","16","0","3","0","0","1","5","0","1","0","0","1","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L9265","BaseUiServerTest","org.deeplearning4j.ui.BaseUiServerTest","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui\src\test\java\org\deeplearning4j\ui\BaseUiServerTest.java","20","1","48","2","0","0","0","0","0","0","0","0","2","1","1","3","1","2","0","1","3","0.333333","0.107143","3","3","1","2","0.107143","3","0","0","2","2","0","25","29","2","0","2","0","2","0","2","0","2","13","0","2","0","25","29","2","0","2","0","2","0","2","0","2","13","0","2","0","0","3","8","4","2","0","0","2","0","1","1","0","0","0","2","0","7","1","0","2","0","0","0","0","0","0","1","0","0","0","0","0"
"L9280","ManualTests","org.deeplearning4j.ui.ManualTests","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui\src\test\java\org\deeplearning4j\ui\ManualTests.java","55","1","567","2","0.644874","5","10","8","0.604289","0.649289","310","274","4","2","2","22","48","0","0","84","94","0.2","0.0865801","40","12","2","8","0.0865801","40","0","0","0","0","0","422","513","1","0","1","0","10","0","9","0","10","199","0","9","0","422","513","1","0","1","0","10","0","9","0","10","199","0","9","0","0","0","79","20","16","6","0","18","42","10","1","0","0","9","0","0","23","1","0","7","0","0","0","0","0","0","0","0","0","0","4","0"
"L9393","TestRenders","org.deeplearning4j.ui.TestRenders","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui\src\test\java\org\deeplearning4j\ui\TestRenders.java","41","1","201","2","0.186864","2","3","3","0.21118","0.207407","34","28","6","0","0","6","40","0","0","50","56","0.142857","0.0217391","3","3","1","6","0.0217391","3","1","1","0","0","1","135","161","2","0","0","0","6","0","6","0","8","52","0","8","0","135","161","2","0","0","0","6","0","6","0","8","52","0","8","0","0","0","42","12","3","0","0","6","19","3","1","0","0","7","4","0","15","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"L9443","TestSerialization","org.deeplearning4j.ui.TestSerialization","L5957","L103","C:\Users\Alumno\Desktop\randomprojects\deeplearning4j-_old-deeplearning4j-0.6.0\deeplearning4j-ui-parent\deeplearning4j-ui\src\test\java\org\deeplearning4j\ui\TestSerialization.java","28","1","68","2","0","0","0","0","0","0","0","0","1","0","0","2","14","0","0","17","19","0.333333","0.0810811","3","3","1","2","0.0810811","3","0","0","0","0","0","34","41","0","1","0","1","2","0","2","0","2","18","0","2","0","34","41","0","1","0","1","2","0","2","0","2","18","0","2","0","0","0","9","0","1","0","0","1","0","0","0","0","0","2","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
